title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
Berlin, Berlin: Lolle on the Run	Movie	Germany	2020	2020-08-07	TV-MA	82 min	Comedies, International Movies	Franziska Meyer Price	Felicitas Woll, Janina Uhse, Jan Sosniok, Matthias Klimsa, Sandra Borgmann, Kai Lentrodt, Armin Rohde, Gitta Schweighöfer, Kailas Mahadevan	NA	NA
High Seas	TV Show	Spain	2020	2020-08-07	TV-MA	3 Seasons	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	NA	Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín, Chiqui Fernández, Tamar Novas, Daniel Lundh, Manuela Vellés, Natalia Rodríguez, Laura Prats, Ignacio Montes, Begoña Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, Félix Gómez, Antonio Durán 'Morris', Eduardo Blanco, José Sacristán	6.8	7154
Selling Sunset	TV Show	NA	2020	2020-08-07	TV-MA	3 Seasons	Reality TV	NA	NA	6.5	5482
Sing On! Germany	TV Show	Germany	2020	2020-08-07	TV-PG	1 Season	International TV Shows, Reality TV	NA	Palina Rojinski	5.4	136
Stars in the Sky: A Hunting Story	Movie	United States	2018	2020-08-07	TV-14	69 min	Documentaries	Steven Rinella	Steven Rinella	7.3	333
The Magic School Bus Rides Again Kids In Space	Movie	United States	2020	2020-08-07	TV-Y	46 min	Children & Family Movies	Richard Weston	Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Birva Pandya, Lynsey Pham, Kaden Stephen	NA	NA
Tiny Creatures	TV Show	United States	2020	2020-08-07	TV-PG	1 Season	Docuseries, Science & Nature TV, TV Action & Adventure	NA	Mike Colter	5	1210
Wizards: Tales of Arcadia	TV Show	United States	2020	2020-08-07	TV-Y7	1 Season	Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy	NA	Colin O'Donoghue, David Bradley, Lena Headey, Emile Hirsch, Lexi Medrano, Steven Yeun, Alfred Molina, James Faulkner, Stephanie Beatriz, John Rhys-Davies	NA	NA
Word Party Songs	TV Show	United States	2020	2020-08-07	TV-Y	1 Season	Kids' TV	NA	NA	3.6	18
Work It	Movie	United States	2020	2020-08-07	TV-14	94 min	Comedies	Laura Terruso	Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner	6.1	12828
Ever After High	TV Show	Canada	2016	2020-08-06	TV-Y7	5 Seasons	Kids' TV	NA	Jonquil Goode, Karen Strassman, Audu Paden, Julie Maddalena, Marieve Herington, Rena Strober, Evan Smith, Wendee Lee, Haviland Stillwell, Valerie Arem, Cam Clarke, Colleen Foy, Cindy Robinson, Joe Sanfelippo, Jamieson Price, Debi Derryberry, Lindsey Ames, Rajo Zakic, Erin Fitzgerald, Malcolm Danare	7.7	1130
Nasha Natasha	Movie	Uruguay	2020	2020-08-06	TV-PG	72 min	Documentaries, International Movies, Music & Musicals	Martín Sastre	Natalia Oreiro	6.4	299
The Rain	TV Show	Denmark, United States	2020	2020-08-06	TV-MA	3 Seasons	International TV Shows, TV Dramas, TV Mysteries	NA	Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen	7.3	616
Anelka: Misunderstood	Movie	France	2020	2020-08-05	TV-14	95 min	Documentaries, International Movies, Sports Movies	Franck Nataf	Nicolas Anelka	6.4	3120
Sin City	Movie	NA	2019	2020-08-05	TV-14	101 min	International Movies, Thrillers	Pascal Amanfo	Yvonne Nelson, Kunle Remi, Adjetey Anang, Oscar Provencal, Michelle McKinney Hammond, Rosaline Meurer, Kweku Elliot, Regina Van Helvert, Alhaji Fadika, Isaac Akwesi Awonor	NA	NA
World's Most Wanted	TV Show	United States	2020	2020-08-05	TV-14	1 Season	Crime TV Shows, Docuseries, International TV Shows	NA	NA	7.1	2481
A Go! Go! Cory Carson Summer Camp	Movie	NA	2020	2020-08-04	TV-Y	21 min	Children & Family Movies	Stanley Moore, Alex Woo	Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson	NA	NA
Malibu Rescue: The Next Wave	Movie	United States	2020	2020-08-04	TV-G	71 min	Children & Family Movies, Comedies	Savage Steve Holland	Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger	4.7	818
Mystery Lab	TV Show	Brazil	2020	2020-08-04	TV-PG	1 Season	Docuseries, International TV Shows, Science & Nature TV	NA	Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs	7.4	769
Sam Jay: 3 In The Morning	Movie	United States	2020	2020-08-04	TV-MA	64 min	Stand-Up Comedy	Kristian Mercado	Sam Jay	NA	NA
Immigration Nation	TV Show	United States	2020	2020-08-03	TV-MA	1 Season	Docuseries	NA	NA	7.4	1096
Almost Love	Movie	United States	2020	2020-08-02	TV-MA	92 min	Comedies, Dramas, Independent Movies	Mike Doyle	Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray	5.7	1087
Killing Hasselhoff	Movie	United States	2017	2020-08-01	R	80 min	Comedies	Darren Grant	Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn	4.4	2655
Moesha	TV Show	United States	2000	2020-08-01	TV-PG	6 Seasons	TV Comedies, Teen TV Shows	NA	Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson	5.7	3713
